"sid","instance","key","apical_class","zone","zone_um","surf","abs","mtic","citdha","dha_sn","dha_abs"
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",5,160,1.02449143702699,7.44414733562732e-06,4.25709817045263e-06,4.94679435897639e-07,0.0798698225388552,0.934738524979957
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",6,250,0.972014956386251,7.06284336428472e-06,4.11954496381216e-06,4.69340975366834e-07,0.097359520865727,1.13942528021159
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",7,500,0,0,0,0,0.0411209746006979,0.481250088233207
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",1,10,1.06707938137586,1.54083521407491e-05,3.78077378842238e-06,1.32587568322569e-06,0.310054138081119,2.89034250219397
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",2,20,0.106223760769765,1.53384381726585e-06,5.69388561559818e-07,1.31985964534166e-07,0.203332484699589,1.89547711325873
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",3,50,0.57592834174703,8.31625730227674e-06,4.48015537761446e-06,7.15606914471826e-07,0.129457042003406,1.20680598887172
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",4,80,0.951079621387316,1.37333454061599e-05,8.6800756707236e-06,1.18174276892412e-06,0.0717204020178467,0.668581711276452
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",5,160,0.755536204042428,1.09097486936354e-05,7.88458573729717e-06,9.38774657462576e-07,0.0533151346254883,0.497006750407973
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",6,250,0.649123626653526,9.37317841289513e-06,6.69793486832173e-06,8.06554083050015e-07,0.0529556594482403,0.493655702137133
"AO_0h_sl6A_sec4a",3,"AO_0h_sl6A_sec4a 3","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec4b",1,"AO_0h_sl6A_sec4b 1","mixed",1,10,2.51659403033965,9.19000221837825e-06,3.27626975777763e-06,9.21428408232433e-07,0.210842126667299,1.76586450958075
